Date,Open,High,Low,Close,Adj Close,Volume
8/18/2015,42942.89844,44398,42671.10156,44138.10156,43857.22656,13425
8/19/2015,44266,44500,43651.10156,44053.80078,43773.46484,13203
8/20/2015,44074,44671.60156,43210,43446.19922,43169.72656,12185
8/21/2015,43200,43603.10156,41800,43388.60156,43112.5,13184
8/24/2015,42700,42700,38000.19922,38788.89844,38542.06641,24954
8/25/2015,39880,40250,36679.10156,39882.80078,39629,30120
8/26/2015,39900,40549.69922,38822.60156,40069.80078,39814.80469,24497
8/27/2015,40500,41500,40500,40907.89844,40647.57422,17189
8/28/2015,41550,41749.89844,40699,41007.60156,40746.63672,16890
8/31/2015,41007.60156,41449,39888,40392.19922,40135.16797,7629
9/1/2015,40199,40237.80078,39020.19922,39684.5,39431.95703,18614
9/2/2015,39858,40544.30078,39656.10156,40263.39844,40007.17969,12230
9/3/2015,40325,40769.89844,40150,40258.80078,40002.61328,9436
9/4/2015,40050,40051,38450,38678.10156,38431.96484,17021
9/7/2015,38680,38927.60156,37768,38005.19922,37763.35156,7879
9/8/2015,38000,39547.5,37689.30078,39328.60156,39078.33203,11752
9/9/2015,39560,40178.39844,39220,39526.60156,39275.07813,7510
9/10/2015,38731,40800,38501.10156,40614,40355.53906,16595
9/11/2015,40800,41546.60156,40001.10156,40536.19922,40278.24219,9765
9/14/2015,40540.39844,41000,40152.39844,40815.60156,40555.86328,6425
9/15/2015,40650,41199,39849.89844,40240,39983.92969,10425
9/16/2015,40261,40520,39500,39873.39844,39619.65234,12667
9/18/2015,40187,40500,40017.60156,40166.5,39910.89844,9294
9/21/2015,40299,41580,39810,41418.80078,41155.22266,16371
9/22/2015,41420,41799,40866,41442.60156,41178.88281,21202
9/23/2015,40759,41228.39844,40520.10156,40935.39844,40674.89844,6388
9/24/2015,40999.89844,41544,40872.80078,41262.19922,40999.625,7713
9/28/2015,41600,41990,41009.39844,41242.89844,40980.44922,6615
9/29/2015,40700,42068,40700,41574.10156,41309.54297,7602
9/30/2015,41998,42185,41651,41935.89844,41669.03125,6592
10/1/2015,42000,42225,41400.10156,41629.89844,41364.98438,5417
10/5/2015,41724.89844,43562,41618,42877.80078,42604.9375,14409
10/6/2015,43100.10156,43500,42455.60156,42549.60156,42278.82813,10762
10/7/2015,42550,42969.89844,42400,42587.80078,42316.78906,5104
10/8/2015,42650,42830,41580.10156,41895.89844,41629.28906,9062
10/9/2015,41930.10156,42590,41220,41373.80078,41110.51172,9340
10/12/2015,41410,41575,40797.89844,41104.60156,40843.03125,9874
10/13/2015,41397.60156,41464,40949.89844,41180.5,40918.44141,5714
10/14/2015,41279.89844,41480,41050,41254.80078,40992.26953,4728
10/15/2015,41300,42147,41300,41848.89844,41582.58984,5489
10/16/2015,41951,42330,41720.19922,41899,41632.375,5778
10/19/2015,42060,42060,41666.10156,41914.80078,41648.07422,4304
10/20/2015,42070,42587.89844,41900,42172.89844,41904.53516,5936
10/21/2015,42026.60156,42379,42026.60156,42225.89844,41957.18359,4672
10/23/2015,42302,42898,42302,42631.10156,42359.8125,5706
10/26/2015,42700,42887.69922,42063,42237.19922,41968.41797,6702
10/27/2015,42070,42240.10156,41500,41578.39844,41313.8125,8802
10/28/2015,41300,41990,41105.10156,41248.10156,40985.61719,5291
10/29/2015,41370,42244.89844,40501,40659.89844,40401.15234,54271
10/30/2015,40675,41047.5,39510,39751.39844,39498.4375,13081
11/2/2015,39888,39888,39111,39358.80078,39108.33594,7442
11/3/2015,39744,40200,39510,39731.60156,39478.76953,5738
11/4/2015,40050,40050,38900.5,39019.89844,38771.59375,8203
11/5/2015,39174,39174,38340,38556.39844,38311.03906,6625
11/6/2015,38355,38888,38200,38512.39844,38267.32813,13957
11/9/2015,38000,39339.89844,37734.69922,38966.69922,38718.73438,5265
11/10/2015,39000,39197.89844,38020,38102.89844,37863.33203,4756
11/13/2015,38000,38500,37777.10156,38377.89844,38136.61719,5892
